"","KH","ATTITUDE_ENG.5","INTEREST_ENG.5","CLASSMATERELATION.5","CAMPUS_CONDITION.5","SATISIFACTION_LEARNING_MATH.5","STRATEGY_MATH.5","THR_MATH_NEW.5","PISA_12_ST81_ENG.5","THR_ENG_NEW.5","HOMEWOK_CORR_MATH","STRATEGE_ENG.5","SATISIFACTION_LEARNING_ENG.5","HOMEWOK_CORR_ENG.5","STUDYINTEREST_MATH.5","STEP_CLASSMATERELATION.5","PISA_12_ST81_MATH.5","MATH_ENG_STRESS_5","MANNERS.5","SOCIAL_MORALS.5","HARD_WORK.5","MP_ADD_5","SOLIDARITY_FRIENDSHIP.5","MORAL_DUTY.5","THRIFTY.5","AWARE.5","SENSE_HONOR.5","GRA_GEOMETRY.5","SELF_PROTECTION.5","ENG_LEVEL_5","ENG5","ENG_LEVE5_KNOWLEDGE_T1","ENG_LEVE5_KNOWLEDGE_T2","MATH_LEVE5_KNOWLEDGE_T1","MATH_LEVE5_KNOWLEDGE_T2","MATH5","MATH_LEVE5_THINKING_T2","MATH_LEVE5_THINKING_T1","ATTITUDE_ENG.9","INTEREST_ENG.9","CLASSMATERELATION.9","STUDYINTEREST_MATH.9","CAMPUS_CONDITION.9","STUDYATTITUDE_MATH_9","SATISIFACTION_LEARNING_MATH.9","STRATEGY_MATH.9","DISCLIMA","THR_MATH_NEW.9","PISA_12_ST81_ENG.9","THR_ENG_NEW.9","SATISIFACTION_LEARNING_ENG.9","STRATEGE_ENG.9","HOMEWOK_CORR_ENG.9","STEP_CLASSMATERELATION.9","PISA_12_ST81_MATH.9","MATH_ENG_STRESS_9","MANNERS.9","SOCIAL_MORALS.9","SENSE_HONOR.9","HARD_WORK.9","SOLIDARITY_FRIENDSHIP.9","MORAL_DUTY.9","THRIFTY.9","AWARE.9","MP_ADD_9","GRA_GEOMETRY.9","SELF_PROTECTION.9","ENG_LEVE9_KNOWLEDGE_T1","ENG_LEVE9_KNOWLEDGE_T2","ENG9","ENG_LEVEL_9","MATH9","MATH_LEVE9_THINKING_T1","MATH_LEVE9_THINKING_T2","MATH_LEVE9_KNOWLEDGE_T1","MATH_LEVE9_KNOWLEDGE_T2"
"16",1052010116,517.63,458.77,428.03,460.17,363.61,397.64,408.73,NA,NA,503.54,415.33,340.06,456.94,371.04,2,514.42,649.3,511.58,507.28,436.06,431.17,417.46,647.25,516.54,551.24,574.26,519.31,549.59,2,499.55,490.43,540.31,656.96,478.68,506.65,507.94,503.14,544.56,578.24,477.8,526.86,530.27,590.99,560.57,568.21,601.97,633.71,613.68,556.51,610.54,577.99,549.36,2,569.91,580.3,603.06,586.74,534.92,592.08,520.14,611.06,503.97,667.99,427.42,363.33,551.69,396.47,419.72,431.77,2,495.44,409.96,503.3,395.14,428.31
"17",1052010117,517.63,458.77,428.03,460.17,363.61,397.64,408.73,NA,NA,503.54,415.33,340.06,456.94,371.04,2,514.42,649.3,674.68,600.37,512.73,503.125,572.01,647.25,654.75,397.09,522.2,616.35,549.59,4,781.16,726.51,713.44,534.62,470.83,623.78,507.18,525.62,403.4,375.42,514.52,406.58,474.8,420.46,460.85,400.74,512.43,524.8,418.38,395.31,347.93,401.92,415.24,3,474.33,564.62,437.89,439.21,443.33,254.66,452.18,381.24,332.78,384.45,582.27,430.75,551.69,527.71,513.27,525.81,3,572.54,608.86,481.47,581.53,573.81
"18",1052010118,586.23,520.31,588.3,301.76,691.82,601.41,593.96,405.79,534.49,468.75,533.02,680.87,529.65,654.86,4,551.98,526.81,NA,NA,NA,452.74,NA,NA,NA,NA,NA,NA,NA,3,531.73,541.14,498.28,764.31,621.53,621.42,561.43,649.57,594.11,578.24,559.16,552.47,549.67,636.29,620.15,614.8,601.97,524.8,613.68,588.32,582.32,566.24,549.36,3,669.69,591.88,525.23,516.49,647.35,482.74,638.41,547.54,445.24,430.43,474.6,668.84,551.69,622.48,686.42,697.72,4,787.49,692.27,702.33,707.54,657.71
"19",1052010118,586.23,520.31,588.3,301.76,691.82,601.41,593.96,405.79,534.49,468.75,533.02,680.87,529.65,654.86,4,551.98,526.81,NA,NA,NA,452.74,NA,NA,NA,NA,NA,NA,NA,3,531.73,541.14,498.28,764.31,621.53,639.94,561.43,649.57,594.11,578.24,559.16,552.47,549.67,636.29,620.15,614.8,601.97,524.8,613.68,588.32,582.32,566.24,549.36,3,669.69,591.88,525.23,516.49,647.35,482.74,638.41,547.54,445.24,430.43,474.6,668.84,551.69,622.48,686.42,697.72,4,787.49,692.27,702.33,707.54,657.71
"20",1052010119,586.23,389.93,375.32,362.15,544.19,460.49,428.4,368.53,246.43,460.15,249.41,408.58,383.38,654.86,1,418.22,564.56,NA,NA,NA,379.28,NA,NA,NA,NA,NA,NA,NA,4,631.13,583.44,714.39,640.27,602.05,612.17,643.8,649.11,544.56,511.46,514.52,628.6,654.64,525.6,529.45,530.55,601.97,633.71,506.91,500.03,490.34,497.19,458.32,3,669.69,601.28,549.3,635.19,534.92,398.01,554.58,520.18,445.24,579.75,380.09,619.63,551.69,613.14,663.87,661.6,4,664.3,616.44,624.7,715.76,649.37
"21",1052010120,458.53,486.39,391.34,636.77,392.93,460.49,390.08,457.13,453,547.03,463.82,480.13,565.14,438.57,1,399.31,600.85,NA,NA,NA,510.41,NA,NA,NA,NA,NA,NA,NA,3,584.7,562.68,657.06,677.46,603.19,710.45,660.93,569.85,553.95,437.9,514.52,437.29,412.22,636.29,433.27,476.45,601.97,NA,504,578.12,369.99,428.06,483.25,3,550.57,449.77,437.89,548.93,486.17,574.46,486.54,580.83,445.24,430.43,533.14,619.63,551.69,623.31,472.11,515.21,3,549.93,586.56,468.67,560.25,526.55
"22",1052010121,586.23,567.66,588.3,636.77,421.03,516.1,541.37,457.13,470.36,438.27,710.87,680.87,682.82,602.75,4,484.71,600.85,NA,NA,NA,431.17,NA,NA,NA,NA,NA,NA,NA,2,496.28,502.08,498.28,657.27,579.43,675.45,621.45,569.85,594.11,511.46,419.44,452.07,511.44,590.99,590.92,496.96,512.43,524.8,569.01,527.49,NA,577.99,549.36,2,618.67,580.3,525.23,516.49,647.35,421.87,595.82,626.76,539.91,627.39,463.92,574.73,523.38,613.14,561.96,590.75,3,598.76,551.74,525.72,604.46,563.44
"23",1052010122,586.23,621.79,588.3,583.84,330.58,415.3,352.58,346.14,362.09,547.03,710.87,555.43,617.38,274.88,4,317.01,372.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,774.03,712.18,714.39,484.59,422.69,501.94,534.85,475.48,544.56,657.93,446.41,552.47,492.97,460.4,620.15,568.21,512.43,590.58,661.81,556.51,582.32,590.68,603.09,2,618.67,276.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.73,673.74,666,4,696.8,692.27,702.33,664.52,657.71
"24",1052010123,586.23,567.66,359.71,636.77,330.58,495.86,504.06,553.55,611.11,NA,665.83,589.16,565.14,463.26,1,484.71,578.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,436.25,442.18,442.05,426.92,346.68,393.33,380.88,443.65,594.11,480.29,514.52,526.86,549.67,636.29,590.92,731.12,601.97,524.8,459.09,556.51,490.34,534.71,603.09,3,669.69,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.29,600.3,618.53,4,393.02,310.94,414.18,356.6,427.8
"25",1052010124,432.59,485.99,588.3,441.04,407.25,516.1,504.06,426.39,625.6,659.25,487.66,633.98,682.82,418.78,4,365.96,548.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,771.13,704.25,718.35,668.89,548.26,764.33,635.52,525.62,544.56,480.29,514.52,526.86,530.27,544.52,590.92,496.96,397.71,445.59,506.91,500.03,490.34,497.19,483.25,3,427.65,579.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.04,686.42,642.2,4,606.85,608.86,567.61,581.53,617.47
"26",1052010125,586.23,621.79,359.71,362.15,584.42,650.77,504.06,658.28,565.71,438.27,604.11,457.44,437.47,654.86,1,551.98,447.47,349.58,396.68,375.78,579.17,417.46,349.95,435.31,601.61,634.15,NA,549.59,3,546.12,554.19,540.31,444.4,408.65,454.16,443.18,425.35,493.7,511.46,354.42,577.04,549.67,590.99,496.39,568.21,512.43,633.71,506.91,500.03,384.25,534.71,458.32,1,569.91,591.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.23,666.52,635.6,4,668.09,647.56,702.33,664.52,606.41
"27",1052010126,586.23,458.77,481.05,636.77,287.99,413.16,428.4,422.83,402.35,410.06,448.18,408.58,565.14,349.41,3,438.11,600.85,451.86,550.49,483.56,437.42,465.42,544.23,486.37,551.24,441.15,616.74,549.59,3,584.7,562.68,657.06,584.48,436.63,540.35,565.89,649.11,594.11,480.29,477.8,475.7,474.8,503.49,496.39,530.55,397.71,469.42,569.01,556.51,490.34,515.57,458.32,2,427.65,580.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662.84,672.62,664.68,4,738.06,662.44,624.7,715.76,649.37
"28",1052010127,418.47,458.77,428.03,391.73,392.93,460.49,541.37,457.13,534.49,547.03,423.91,408.58,565.14,489.97,2,399.31,447.47,420.98,450.09,395.22,462.16,417.46,393.87,378.56,397.09,360.32,488.67,176,3,563.35,551.75,613.23,611.83,603.19,623,497.67,569.85,447.75,511.46,419.44,662.42,549.67,590.99,620.15,513.41,512.43,524.8,418.38,500.03,610.54,515.57,512.44,2,427.65,609.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.23,634.83,652.62,4,694.1,681.35,565.11,686.64,698.39
"29",1052010128,586.23,367.33,364.31,481.7,421.03,397.64,474.64,405.79,402.35,503.54,404.74,378.99,437.47,349.41,1,418.22,600.85,617.78,434.44,483.56,589.35,395.89,432.34,414.94,601.61,457.75,548.03,371.68,3,599.19,583.44,607.76,555.4,675.9,621.61,621.45,532.7,594.11,657.93,620.76,697.85,694.1,636.29,713.64,686.21,601.97,677,661.81,668.11,698.3,661.88,603.09,4,669.69,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.73,673.74,693.76,4,676.54,641.69,525.72,639.27,672.1
"30",1052010129,586.23,621.79,359.71,347.6,544.19,566.63,449.98,475.74,470.36,547.03,555.92,527.65,456.94,489.97,1,484.71,590.07,382.72,411.42,336.52,517.53,465.42,432.34,523.15,397.09,485.79,455.17,549.59,4,684.03,672.44,657.06,613.21,692.04,723.66,534.85,666.54,544.56,451.92,559.16,577.04,511.44,590.99,620.15,568.21,601.97,633.71,535.26,627.57,582.32,534.71,483.25,3,532.6,579.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.29,673.74,710.61,4,668.09,647.56,702.33,664.52,606.41
"31",1052010130,418.47,342.7,451.28,506.95,241.93,345.02,371.64,NA,NA,574.22,203.1,434.01,304.17,274.88,2,340.63,564.56,435.74,468.2,512.73,437.42,465.42,465.61,435.31,473.11,485.79,602.34,549.59,3,618.24,590.24,662.47,656.96,553.06,679.05,507.94,503.14,493.7,511.46,514.52,577.04,619.15,636.29,460.85,589.88,601.97,633.71,569.01,500.03,457.05,590.68,668.21,3,618.67,591.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.08,466.21,435.19,2,426.36,409.96,409.25,352.82,378.05
"32",1052010131,517.63,621.79,522.64,583.84,544.19,428.63,474.64,496.59,489.02,503.54,463.82,527.65,478.05,463.26,3,438.11,526.81,674.68,600.37,603.79,NA,621.46,591.48,654.75,473.11,634.15,488.67,371.68,4,652.49,665.2,657.93,610.1,548.26,623.78,635.52,656.69,493.7,441.54,684.68,526.86,570.14,636.29,529.45,589.88,512.43,633.71,506.91,627.57,490.34,484.36,628.61,NA,367.03,580.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.14,666.52,628.09,4,545.96,546.88,481.47,559.97,573.81
"33",1052010132,586.23,621.79,522.64,636.77,509.82,601.41,653.13,553.55,665.4,547.03,555.92,480.13,565.14,489.97,3,604.39,564.56,394.66,648.37,458.56,437.42,465.42,647.25,458.46,510.91,634.15,488.67,549.59,4,781.16,726.51,713.44,696.29,719.74,683.43,606.34,649.57,594.11,617.92,477.8,289.76,388.39,503.49,343.73,238.01,512.43,469.42,399.37,474.61,490.34,515.57,395.52,2,386.86,580.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623.31,672.62,635.02,4,645.48,647.56,702.33,664.52,561.28
"34",1052010133,586.23,621.79,359.71,332.9,509.82,707.23,653.13,387.97,665.4,611.31,569.42,503.13,617.38,654.86,1,380.61,620.58,338.85,408.14,375.78,671.52,375.04,360.78,239.28,397.09,290.29,455.17,176,4,771.13,704.25,718.35,562.31,602.05,598.77,605.09,649.11,403.4,451.92,514.52,475.7,456.97,460.4,496.39,513.41,512.43,495.98,506.91,500.03,490.34,470.11,435.97,3,474.33,538.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.53,397.03,396.58,1,539.68,505.55,624.7,516.37,528.39
"35",1052010134,586.23,621.79,451.28,636.77,392.93,365.25,371.64,496.59,565.71,468.75,665.83,680.87,682.82,303.18,2,340.63,578.18,537.75,550.49,483.56,NA,572.01,647.25,523.15,473.11,634.15,417.41,549.59,4,680.7,627.43,714.39,566.57,657.76,577.67,593.21,569.85,594.11,480.29,477.8,429.31,456.97,503.49,423.8,513.41,397.71,495.98,481.84,500.03,582.32,525.01,512.44,2,427.65,564.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.73,780.19,678.73,4,561.85,586.56,565.11,582.12,588.4
"36",1052010135,586.23,621.79,588.3,362.15,544.19,566.63,449.98,496.59,534.49,468.75,533.02,633.98,529.65,555.37,4,459.87,564.56,407.35,458.11,549.6,545.15,572.01,465.61,435.31,510.91,634.15,602.34,371.68,4,685.57,631.87,713.44,724.16,552.93,621.61,621.45,569.85,594.11,617.92,559.16,697.85,694.1,636.29,382.65,530.55,601.97,633.71,661.81,527.49,384.25,544.74,549.36,3,669.69,535.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.07,570.2,587.16,3,530.7,520.34,525.72,486.02,603.85
"37",1052010136,586.23,520.31,451.28,428.09,544.19,566.63,390.08,521.41,565.71,547.03,536.57,503.13,617.38,489.97,2,438.11,620.58,674.68,600.37,458.56,659.55,527.18,591.48,580.19,397.09,522.2,455.17,549.59,3,592.75,551.75,718.35,694.53,527.94,583.98,534.85,666.54,594.11,544.23,620.76,452.07,405.34,636.29,677.79,513.41,512.43,590.58,481.84,668.11,490.34,544.74,415.24,4,449.95,579.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622.48,598.91,650.78,4,668.09,608.73,702.33,627.24,657.71
"38",1052010137,387.73,342.7,522.64,583.84,449.28,444.31,331.84,387.97,295.32,410.06,436.73,434.01,346.65,415.22,3,380.61,578.18,511.58,550.49,483.56,362.41,493.63,544.23,396.26,601.61,634.15,712.48,549.59,4,722.88,665.2,714.39,523.13,478.68,537.34,507.94,503.14,447.75,578.24,559.16,452.07,456.97,503.49,382.65,513.41,512.43,445.59,NA,NA,490.34,555.21,512.44,3,532.6,591.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.23,716.14,643.72,4,558.71,464.6,503.3,448.55,522.19
"39",1052010138,586.23,621.79,663.73,530.24,509.82,566.63,449.98,601.18,611.11,503.54,585.09,555.43,565.14,519.87,4,604.39,548.15,570.56,516.19,603.79,462.16,621.46,647.25,654.75,551.24,574.26,373.08,549.59,4,685.57,726.51,657.06,534.62,548.26,576.36,507.18,656.69,594.11,544.23,419.44,500.77,530.27,590.99,560.57,496.96,601.97,469.42,661.81,474.61,522.09,479.14,668.21,2,618.67,591.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662.84,599.13,619.62,4,534.38,546.88,481.47,541.45,542.28
"40",1052010139,586.23,567.66,588.3,636.77,449.28,566.63,541.37,658.28,489.02,547.03,604.11,480.13,617.38,519.87,4,663,526.81,537.75,659.91,603.79,NA,621.46,647.25,486.37,656.1,634.15,548.03,549.59,4,634.32,590.24,718.35,635.78,621.53,710.45,606.34,649.57,594.11,544.23,446.41,601.66,694.1,636.29,529.45,614.8,601.97,469.42,438.1,500.03,490.34,590.68,435.97,2,474.33,591.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.14,634.83,628.09,4,668.09,647.56,702.33,664.52,606.41
